magnet_depth,magnet_angle,angle_margin,irms,degel,degmech,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,23.386666666666667,0.2,0.0,0,45.0,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-7.658561859324926e-05,1.805004217249068e-07,0.0004734028649756492,-0.0004735705413460656
0.1,23.386666666666667,0.2,0.0,0,47.25,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.01206427457480587,6.82545140664402e-05,0.000429324113962738,-0.0004971645868947084
0.1,23.386666666666667,0.2,0.0,0,49.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.001797700491088286,0.0001449052229991761,0.0003592039422159266,-0.000503611395582415
0.1,23.386666666666667,0.2,0.0,0,51.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,4.100906548136066e-05,0.0002254389561609347,0.0002789365136310642,-0.0005038808245050677
0.1,23.386666666666667,0.2,0.0,0,54.0,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-2.377554332444025e-06,0.000306212757243794,0.0001981590860538035,-0.0005038777780466575
0.1,23.386666666666667,0.2,0.0,0,56.25,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.005394246560012595,0.0003851675460368116,0.0001181473192552773,-0.0005028284800260872
0.1,23.386666666666667,0.2,0.0,0,58.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.01004450277406387,0.0004471092999216027,4.45011809020099e-05,-0.0004913009020628713
0.1,23.386666666666667,0.2,0.0,0,60.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.005458906237104314,0.0004835018971380698,-2.225839086612627e-05,-0.0004614120456891848
0.1,23.386666666666667,0.2,0.0,0,63.0,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.01001673681889865,0.0005009021892317782,-9.276199313965178e-05,-0.0004086000196705508
0.1,23.386666666666667,0.2,0.0,0,65.25,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.0003265769734559491,0.000503826968586108,-0.0001716078541954019,-0.0003327095135553849
0.1,23.386666666666667,0.2,0.0,0,67.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,1.558599324055674e-05,0.0005038729918820506,-0.0002523275261412218,-0.0002520338309345107
0.1,23.386666666666667,0.2,16.970562748477143,0,22.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,1.953503334003796e-06,0.0004293935282209674,-0.0002145033362507287,-0.0002141709878384179
0.1,23.386666666666667,0.2,16.970562748477143,0,24.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.001798557507614273,0.0004296673978636701,-0.0001221998517483106,-0.0003067584598898096
