magnet_depth,ratio,halbach_side,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.07533333333333332,B,16.970562748477143,234.0,58.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.1925894956547694,-8.224741007400492e-05,0.0009826755808970474,-0.0009001726413652143
0.1,0.07533333333333332,B,16.970562748477143,252.0,63.0,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2336052217594649,0.0002322153610896065,0.0008075122158368483,-0.001040232785939278
0.1,0.07533333333333332,B,16.970562748477143,270.0,67.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2501921648795871,0.000533706171251838,0.0005313694255984706,-0.00106570648307359
0.1,0.14066666666666666,B,16.970562748477143,90.0,22.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2398957962737136,-0.0005248360891339721,-0.00053242423849122,0.001057898370379164
0.1,0.14066666666666666,B,16.970562748477143,108.0,27.0,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.1956205758513015,-0.0008044048560189407,-0.0002108628091975188,0.001015574792551361
0.1,0.14066666666666666,B,16.970562748477143,126.0,31.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.215305242978738,-0.0009880537147828384,0.0001144982070413728,0.0008733667192544539
0.1,0.14066666666666666,B,16.970562748477143,144.0,36.0,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2429946295874875,-0.001056853136823927,0.0004238109807183047,0.0006324741229490101
0.1,0.14066666666666666,B,16.970562748477143,162.0,40.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2027404812130509,-0.001037267634050153,0.0007171600780144027,0.0003197115708625474
0.1,0.14066666666666666,B,16.970562748477143,180.0,45.0,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2078355940275177,-0.0009326484750363847,0.000940587985018903,-7.818070851356442e-06
0.1,0.14066666666666666,B,16.970562748477143,198.0,49.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2354584591225292,-0.0007226658026108767,0.00104554415346589,-0.0003222820648476876
0.1,0.14066666666666666,B,16.970562748477143,216.0,54.0,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2215061018377529,-0.0004267085612639947,0.001050755797870904,-0.0006234390315499623
0.1,0.14066666666666666,B,16.970562748477143,234.0,58.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.1993515170494512,-0.0001007471001754057,0.0009808401962779333,-0.0008799711468557475
0.1,0.14066666666666666,B,16.970562748477143,252.0,63.0,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2250288427153227,0.0002195463106976785,0.0008031059111740417,-0.001023045696857596
0.1,0.14066666666666666,B,16.970562748477143,270.0,67.5,0,0.1,0.14066666666666666,2.525540728608177e-06,-0.2399383169649416,0.0005248348875335564,0.0005324100781918698,-0.001057883172229446
0.1,0.01,B,16.970562748477143,90.0,22.5,0,0.1,0.01,2.525409007276935e-06,-0.2544212173324122,-0.0005399647565438988,-0.0005314068022384309,0.00107201974840537
0.1,0.01,B,16.970562748477143,108.0,27.0,0,0.1,0.01,2.525409007276935e-06,-0.2077531454312837,-0.0008340425401155825,-0.0001858657213288947,0.001020451058154673
